seed,dynamic_auc,dynamic_recovered,dynamic_recovery_steps,uncoupled_auc,uncoupled_recovered,uncoupled_recovery_steps,matched_fixed_auc,matched_fixed_recovered,matched_fixed_recovery_steps,shuffled_schedule_auc,shuffled_schedule_recovered,shuffled_schedule_recovery_steps,repulsive_auc,repulsive_recovered,repulsive_recovery_steps,dynamic_dt_noise_auc,dynamic_dt_noise_recovered,dynamic_dt_noise_recovery_steps,observed_correlation,surrogate_correlation
14,0.8016872887772817,true,83,-0.252675506671139,false,,0.8893328082612346,true,79,0.8887780845079077,true,78,-0.6754520914523523,false,,0.8131648727015542,true,81,0.025979683291211267,0.033674784001279955
15,0.8942594163835448,true,79,0.006058379154253453,false,,0.9191246266412557,true,73,0.9180192212950153,true,74,-0.6188677970308295,false,,0.9000289361708506,true,77,-0.010005019468644065,0.0016539914716379432
16,0.8911035882423564,true,117,-0.028807956915310105,false,,0.9182894019555196,true,90,0.9188936523883641,true,89,-0.622979471692734,false,,0.8940786973430507,true,114,0.03418188855581093,-0.04261767144818325
17,0.7791608175616132,true,186,-0.1925497483480996,false,,0.8788526420462411,true,116,0.8765453039883103,true,119,-0.6339336775476843,false,,0.7982894085849828,true,174,-0.03825979770597563,-0.03332679832863613
18,0.8853038601083453,true,83,-0.13175902135617154,false,,0.9146201564140796,true,75,0.914781196276879,true,75,-0.6476993621185123,false,,0.8885818861520006,true,86,-0.00930966616220854,-0.05454090921055596
19,0.8960424042089611,true,85,0.14083951917099027,false,,0.9194653029159816,true,77,0.9190245912925303,true,77,-0.5847223219121261,false,,0.8961930819155137,true,86,-0.06751011985750725,0.029105604585814165
20,0.9066871960717262,true,93,0.04381111930968751,false,,0.9243215805527165,true,80,0.9246841302662868,true,80,-0.6090959297121386,false,,0.9133603234238251,true,89,0.00017098868265636266,-0.01144878256996641
21,0.8556408633674907,true,140,-0.22033616374745088,false,,0.9034358805886427,true,102,0.904470122210261,true,102,-0.6550431214032484,false,,0.8572644672534921,true,137,0.03963920175006346,0.044489131045784655
22,0.9086380465801143,true,91,-0.11439273216792037,false,,0.9258405981463212,true,78,0.9266639654284815,true,78,-0.6512323679403833,false,,0.9066939234034662,true,95,0.023940710175810016,-0.017095119844390775
23,0.9350210939947073,true,87,0.24439255811041183,false,,0.9443828175797028,true,76,0.9446871907696691,true,74,-0.578794323080568,false,,0.9336624001637372,true,91,-0.030620020821995844,0.01455533080774012
24,0.9047354466846573,true,77,-0.04754425247301396,false,,0.9244375072752935,true,71,0.9241526293466,true,70,-0.6315050944494984,false,,0.9061475363659114,true,80,0.003732407543264477,0.007342734746143757
25,0.889541378740308,true,95,-0.09347074023540491,false,,0.9149675206175384,true,83,0.9162680741992228,true,82,-0.6341067932293406,false,,0.8956475384752383,true,93,-0.001560082760135322,-0.026056102818462518
26,0.9016112070462851,true,80,-0.12034788025430629,false,,0.9224174958485374,true,71,0.9215348079671452,true,70,-0.6550596228268373,false,,0.9053147447053471,true,80,-0.0021166989821961068,0.010472807289810532
27,0.8961965549184688,true,92,-0.02708581195249014,false,,0.9186046499047774,true,81,0.918524184561225,true,82,-0.6251135865404434,false,,0.8947063116794735,true,93,-0.02910923376552682,-0.03138706185496629
28,0.9184403432756594,true,97,0.21145272681806032,false,,0.9335424790054141,true,82,0.9334504293349568,true,82,-0.5738573064910318,false,,0.9207415018652964,true,97,-0.01736245696959089,-0.026960642432874903
29,0.9312202941439114,true,95,0.107249377886138,false,,0.9430637208172861,true,81,0.9431085581683428,true,80,-0.6300749703417127,false,,0.9351392324777513,true,92,0.010638312157946446,0.05958641269184118
30,0.9060158221817234,true,73,0.11281892339999154,false,,0.9259105673154723,true,69,0.9266292602994153,true,68,-0.6028304786403901,false,,0.9081575057685167,true,74,0.01081898917174806,-0.023190689271954765
31,0.8926757864657137,true,120,0.12086136594743524,false,,0.9214647409515141,true,91,0.9211623984241075,true,93,-0.5824101953690153,false,,0.8873789103847554,true,125,0.026473514756332885,-0.008798572706176051
32,0.9017607953091435,true,81,-0.05725871062433846,false,,0.9224856506093344,true,73,0.9222241995921785,true,73,-0.6293286705612037,false,,0.8994602073696838,true,87,0.04947141123489388,-0.05639220479167724
33,0.8508405379825065,true,154,-0.02016675312381171,false,,0.9083366812347271,true,103,0.908700687029496,true,103,-0.6139627519138121,false,,0.84004656297171,true,161,-0.018022747663953908,-0.0194015337815429
34,0.9219596408835177,true,86,0.016063378929118997,false,,0.9339417094129939,true,76,0.9342841593102037,true,76,-0.6327469319534262,false,,0.9258275095620966,true,83,-0.0565975763968917,-0.03866385561211176
35,0.8845631141582638,true,112,0.017268818078972865,false,,0.9145788674832398,true,90,0.9146873737161451,true,90,-0.6063002364534793,false,,0.8790978081429394,true,118,0.03969226994778834,-0.0005886812587418675
36,0.9462180877267389,true,69,0.2695142274113867,false,,0.9510428963287426,true,64,0.9508055717254501,true,65,-0.5895851809660693,false,,0.9493944948206151,true,69,-0.04535466197346563,0.030774459938652257
37,0.9349989076105906,true,82,0.16175991568400028,false,,0.9427074957293643,true,72,0.9426207503865022,true,73,-0.5992824480249389,false,,0.9367704346120843,true,80,0.015927134937428238,-0.00496606379436081
38,0.8292697029913932,true,133,-0.24143249021898888,false,,0.888723808381006,true,102,0.8905714501959382,true,102,-0.6534472215130241,false,,0.8399194338972717,true,126,-0.0022730635801936267,-0.03612566116726463
39,0.9170253396828149,true,65,0.10124845649565478,false,,0.9328004184784023,true,61,0.9324592469779507,true,61,-0.6091456498855535,false,,0.9217304811289726,true,64,-0.021791870257114786,-0.026345357076890806
40,0.8993861315874014,true,97,0.056400335014588146,false,,0.9206286521902678,true,81,0.9206973094829832,true,81,-0.6061348700519265,false,,0.9021737164521346,true,97,0.019682841185667897,-0.002029133830406914
41,0.9335509314047024,true,71,0.28525384836876827,false,,0.9417772565876175,true,66,0.941984957880888,true,65,-0.5708652497947291,false,,0.9330843080326815,true,73,-0.040502646713682165,0.0008544693350770162
42,0.8903315121907213,true,107,-0.07450924294065539,false,,0.9169250181185732,true,84,0.916228652534232,true,85,-0.6390963718716061,false,,0.902748109224523,true,98,0.043200430219769596,0.01420045709800762
43,0.8956755729769729,true,91,-0.06629197397235959,false,,0.9188573220273977,true,76,0.9193739913772264,true,78,-0.6343766425146045,false,,0.8994105704539388,true,89,0.005225022487495991,-0.044159938651754986
44,0.8897766265855056,true,110,-0.0364243591843665,false,,0.917156054812029,true,89,0.9174737268727305,true,89,-0.6155474555960379,false,,0.8881036790214588,true,114,0.03978773855804768,0.05013671818956587
